序号	类型	标题	第一作者	来源	日期	链接	来源链接	所有作者	摘要	关键词	DOI	导师
329	期刊	级联多注意力的遥感影像耕地变化检测方法	俞友	昆明理工大学学报(自然科学版)	2025-06-11	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibISFUnc9nyBs4kLhNbeC5OTbmSgSEkdutm7JnKkkneOAwnDFOY0F-jBz7Iqy6ZTyvEqzrlgfn1SMQEVb7NxOSrnABGPVcUGFh1KU7TBJ9fdWHcuWI2sRW_NHPVzAqZOG5dJEqMhJreWQ8d4Ddflqbs6W6HOy1mIrHmmct6mO0rmOA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5ySG6QIyPOgg9soAiex9O8FZB8m3KdtpQCmbsyHdS9vY6fSO-6wCbUoPADpHY146B-SgHpln4xcb2Mza3a9ri6_LlS7bZZgr5v4=&uniplatform=NZKPT	俞友、吴强、黄亮	针对当前深度卷积神经网络在处理耕地精细变化识别时，由于忽略了特征通道间的相关性以及特征重要性差异导致识别困难的问题，提出了一种新的多注意力遥感影像耕地变化检测网络（Multi-Attention Cropland Change Detection Network， MACCDNet）。MACCDNet首先提取双时相高空间分辨率遥感影像中的多尺度耕地特征；然后级联门控通道转换(Gated Channel Transformation， GCT)和挤压-激励(Squeeze-and-Excitation， SE)模块的解码器逐层处理多尺度双时相耕地特征，GCT模块全面建模上下文信息，SE模块对重要性不同的特征赋予相应的关注度，有效提升MACCDNet对耕地变化的识别能力；最后通过融合多尺度特征和图像差异特征得到耕地变化结果。MACCDNet在CLCD和JL-1耕地变化监测数据集上与6种先进方法对比性能综合最优。因此，MACCDNet是一种精确、高效和高鲁棒性的耕地变化检测方法。	耕地变化监测;高分辨率遥感影像;耕地保护;卷积神经网络;级联多注意力;	10.16112/j.cnki.53-1223/n.2026.05.522	
330	期刊	基于改进波噪比与卷积神经网络的钢轨波磨声纹识别	刘力	现代城市轨道交通	2025-06-11	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibJw5Ql2KvbLY_8KQTFLWIbSRjdazM8iS2vEncwdDWuYt6qqejQev8sIqkjAimYPX4vvyN4W2IMtye8rqfhm0qGILFAAKRvQxjiAkbiJE-MfNiWAk51tuMplD2u_nS5ngYf7zXFthlTt3cRZnJV54hYfS6VyElFCUR-gWbG7ErbAEQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yRTJHl-9QfeIvbg35W5QDUL_57IJQ18Xwd_EQswMRgyjHxouiLduW3ZY164UT5RW9oI7wgCblRthIFrDWCDLtXFAs0i87MJRQM=&uniplatform=NZKPT	刘力、周近、袁英强、吕彦朋、戴泽宇	针对当前智能诊断模型在钢轨波磨识别中准确率低以及难以去除钢轨信号中无关噪声的问题，文章提出一种基于改进波噪比(Improved Corrugation-noise Ratio，ICR)的自适应降噪方法，并结合卷积神经网络(Convolutional Neural Network，CNN)构建钢轨波磨识别框架。首先根据噪声和钢轨波磨在频域的分布特点，利用短时傅里叶变换的能量分布计算出时域信号权重系数，对钢轨信号进行加权处理，实现自适应降噪。然后采用梅尔谱的声纹提取方法结合CNN对降噪后的信号进行训练，以最大化分类准确率。实验结果表明，提出的ICR自适应降噪方法可有效降低钢轨声学信号中的无关噪声，并显著提升CNN对钢轨波磨的识别准确率。通过北京地铁某线路的实测数据验证，该方法可有效识别钢轨波磨，识别准确率稳定在97.62%左右，基本满足钢轨波磨识别的实际需求。	地铁;钢轨波磨;卷积神经网络;梅尔谱;改进波噪比;	10.20151/j.cnki.1672-7533.2025.06.016	
331	期刊	神经网络滤波器剪枝技术研究综述	王琳	计算机工程与应用	2025-06-11	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibJw5Ql2KvbLY_8KQTFLWIbSAc-fhEyCGjBZ30xY_eJxdDKq_2rIZJqoBEusHWZb3uWWM-nnTEfUVize1b7qwETscCKm6n1wrvm-zEAS58lAR_bynIRMBoawUE0nJXHEAvDuzIX8ogTBiK7S-uzNwKfI-xuH_FXCTm9qZc2s4ukocA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yRTJHl-9QfeIvbg35W5QDUL8PKBEplKZkAr0L-L8GCNk7vRcIqWGhp0GWr6UQ7pOw3coRtf4wN8BFa3w50cvETwN8CMQ1hTr4Y=&uniplatform=NZKPT	王琳、宋权润、耿世超、栾钟治	随着软硬件资源水平和计算能力的提高，深度神经网络在计算机视觉、自然语言处理、图像生成等多个领域迅速发展，引领深度学习在自动驾驶、医疗诊断等方向上不断突破。然而，随着模型深度的增加，庞大的参数量和计算资源消耗导致模型变得过于复杂，难以在资源受限的环境进行训练和部署。为了减少网络模型的复杂度，提高模型的效率，研究者们提出了剪枝方法，通过减少模型中的冗余参数和连接实现模型的压缩和加速。滤波器剪枝是优化卷积神经网络的重要方法之一，通过改变网络中滤波器组和特征通道的数目来加速网络，且不依赖于特定算法或硬件平台。对此梳理了近年来国内外滤波器剪枝技术的研究进展，从滤波器重要性评估、剪枝及微调方式设计两个方面进行分类总结，并对主流滤波器剪枝方法的实验进行归纳，分析滤波器剪枝对模型精度和参数量的影响，并对未来的研究方向加以探讨。	深度学习;深度卷积神经网络;模型压缩;滤波器剪枝;模型优化加速;		
332	期刊	基于去噪概率扩散模型的大容量可逆图像隐写算法	唐亦昕	计算机应用与软件	2025-06-11	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibIRKbum2uy3_5TX1-dXd5CDuG8dg7k_pCQMxAveri0CBoMdvy0TZJwUa6QUY2MUxK8HPRksXiPJxeRGQdB2GmhAfoeRVhCKrh4czMzKLEEE8EI5OZTURp-znhhhus-JU0NmTZGxM6GMiJWSCLmqSS8LGszGlVADykoDqGA2oTb6LQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yRTJHl-9QfeIvbg35W5QDUL8PKBEplKZkAr0L-L8GCNk7vRcIqWGhp0A3-qLUPcx6Faf-lyjAqYMzcewr2X1c0zh14HBCG1tdw=&uniplatform=NZKPT	唐亦昕、张敏情、狄富强、孔咏骏	为提高低分辨率图像的隐写容量提出了一种基于去噪概率扩散模型（Improved Denoising Diffusion Probabilistic Models，DDPM）大容量可逆图像隐写算法。首先将秘密信息映射成为噪声向量上，然后利用DDPM将噪声进行采样，生成接近自然的隐写图像。利用卷积神经网络设计提取器，对隐写图像提取出秘密信息。实验结果表明，所提出方法对秘密信息具有良好的图像生成效果以及高嵌入容量。	大容量;去噪概率扩散模型;卷积神经网络;图像隐写;		
333	期刊	基于Sentinel-2影像和冠层高度模型数据的森林蓄积量反演	贺鹏	中南林业科技大学学报	2025-06-11	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibIRKbum2uy3_5TX1-dXd5CD2rcW5d4Tcwt3Xhc77BDY2AQqD__AC99qb6X78JEuHjKg48EKq1kWrPyc906RP65FbfeqTl5Q3cxrv9w_Www3Z08ZLzz8YAP3jIhAVzBh17skGi_hp0x2TPTN2Y0AYh44TvdHVcfsCDqO4xuY6_ty1g==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yRCDQDuvfUKK66LGCiUWIqcvRL0yYvv0XJ8vUx-ovhpvaiSN_3EinMAzCgl-O5IqawB5CQA3LerJITuIq_M-DghkTlcVeI6xhQ=&uniplatform=NZKPT	贺鹏、陈振雄、黄鑫	【目的】作为反映森林生态系统生物量存储能力的重要指标，森林蓄积量是衡量森林健康、生态功能和碳储量的关键参数。精准反演森林蓄积量可为森林资源管理、气候变化、生态保护与可持续经营提供科学的数据支撑，是森林资源调查与监测的核心任务之一。【方法】以湖南省浏阳市为研究区域，结合全国森林资源清查（NFI）数据与Sentinel-2遥感影像，开展森林蓄积量遥感反演。首先，通过Pearson相关性分析与特征变量重要性筛选，提取与森林蓄积量密切相关的关键特征变量。随后，采用支持向量机（SVM）、随机森林（RF）和全卷积神经网络（FCN）等模型进行森林蓄积量反演。模型精度采用交叉验证法计算，并运用多项评估指标对模型性能进行比较，最终选取拟合效果最佳的模型，用于研究区森林蓄积量的精确反演。【结果】1)各特征变量与森林蓄积量均呈现显著相关性；2)引入冠层高度模型（CHM）能显著提升森林蓄积量的反演精度，其中支持向量机模型的决定系数（R2）从0.34提升至0.52，提升了52.95%,RMSE从30.52 m3·hm-2降低至25.59 m3·hm-2，降低了16.15%；随机森林模型的决定系数（R2）从0.39提升至0.55，提升了41.03%,RMSE从29.46 m3·hm-2降低至25.07 m3·hm-2，降低了14.90%。表明CHM对提高森林蓄积量的反演精度具有重要贡献；3)相比其他模型，全卷积神经网络模型在森林蓄积量反演中的表现最佳，其R2值达到0.66,RMSE为21.20 m3·hm-2。此外，基于2022年的CHM数据显著提升了其他模型的预测性能，有效克服了传统反演方法因缺乏实测树高数据而导致的精度瓶颈，为大尺度森林蓄积量监测提供了新的思路和方法。【结论】结合实测数据和Sentinel-2影像的FCN模型能够实现森林蓄积量的精确反演与监测，同时CHM数据的引入显著提升了反演模型的预测精度，可为未来森林资源的精准监测和科学管理提供重要参考。	森林蓄积量;Sentinel-2;冠层高度模型;特征变量;机器学习;深度学习;	10.14067/j.cnki.1673-923x.2025.06.002	
334	期刊	基于改进CNN-BGRU的滚动轴承剩余使用寿命预测模型	王仲	机电工程	2025-06-11	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibIRKbum2uy3_5TX1-dXd5CDuG8dg7k_pCQfQJgX4hfc9GiBpfVkASPhqyNRoQdsWCxijBOglHpDlsEcB5U5ihPdpZ3qYuaramGq4hgABVzgEz4PA0Jj-pNSUBWJpQ0pl-ZNqP3O8wOuc29xOWwVfHAinvxaGxWkpqgSem6RHCJqIQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yRCDQDuvfUKK66LGCiUWIqcR9nLHp8OWMWjhUnmq6ii7nn0g2SivK1qvR1ldjvJEFwGLCQt0ElJSBDtD63Gtxz7coRW-YM7has=&uniplatform=NZKPT	王仲、姜娇、宋洋、张磊、谷泉	针对现有人工智能方法在滚动轴承剩余使用寿命（RUL）预测中呈现出准确性低的问题，提出了一种基于改进卷积双向门控循环单元神经网络（CNN-BGRU）的滚动轴承剩余使用寿命预测方法（模型）。首先，利用卷积神经网络（CNN）对滚动轴承寿命数据进行了深层特征提取，同时提出了一种新的改进修正单元的激活函数，提升了特征表达能力；然后，考虑到滚动轴承全寿命周期时序数据的前后关联信息，构建了双向门控循环单元网络（BGRU），用来捕捉轴承全寿命周期时序数据；并运用一次函数拟合曲线，预测了滚动轴承的剩余使用寿命；最后，依据滚动轴承加速寿命预测实验的数据集，在三种不同工况下对CNN-BGRU方法的有效性和优越性进行了验证。研究结果表明：相较于门控双注意单元（GDAU）、深度神经网络（DNN）、宏观-微观注意长短期记忆网络（MMALSTM），CNN-BGRU寿命预测方法的平均得分分别提高了0.09、0.23、0.04；在平均绝对误差（MAE）、均方根误差（RMSE）和平均绝对百分比误差（MAPE）三项关键评价指标上，该方法均取得了最优值，分别为166、0.178和16.8%。由此可见，基于改进CNN-BGRU的滚动轴承剩余寿命预测方法能够较好地对轴承剩余使用寿命进行预测，且具备良好的泛化性能。	激活函数;全寿命周期时序数据;卷积神经网络;双向门控循环单元网络;剩余使用寿命预测;加速寿命试验;		
335	期刊	优化CNN-BiGRU-SA组合模型的BDS-3超短期钟差预报	蔡茂	导航定位学报	2025-06-11	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibIiPFpwxLFRNipz2IssWsTy9dZHW0lVAl2sDmGQ5MPpO9Qa1kSXJO0L9ZSe6SuHTmdBwrBQqECt1mxcu2sOhJqfS5G9YoAO-3AB-_YZBA1vkDdss1UwC2uPJ3DrsmOp01wV85JraiQSiRleymg8d-1lNElj8-O4XVmedo1pcAVYEQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yTTwSQyFoXrz0T5dboN3M3EaRaumF2e2KO0cc9AjjvQXze_KRliYouQaXdFFQpka92KhAsYy6J9YBfa5ZGVSNDlAImxecDHPPA=&uniplatform=NZKPT	蔡茂、潘雄、张龙杰、周秀鹏	针对钟差数据的非线性特点及单一模型在处理长程依赖问题中的局限性，提出一种融合卷积神经网络（CNN）-双向门控循环单元（BiGRU）-自注意力机制（SA）的北斗三号全球卫星导航系统（BDS-3）超短期钟差预报方法：利用CNN提取钟差数据中的非线性特征，通过BiGRU建模时序依赖关系，引入SA机制以动态分配特征权重；然后，进一步结合混沌映射与莱维（Levy）飞行策略改进北方苍鹰优化（INGO）算法，优化组合模型的超参数，构建INGO-CNN-BiGRUSA组合钟差预报模型；最后，利用德国地球科学研究中心提供的BDS-3钟差数据从原子钟类型、不同采样间隔进行1 h、3 h、6 h的超短期预报，从权重选择、超参数优化、预报精度、预报稳定度等方面验证组合模型的实用性。结果表明，该组合模型在超短期预报中具有较高的精度和稳定度，平均精度优于0.2 ns，平均稳定度优于0.25 ns。	钟差预报;超参数;卷积神经网络(CNN);双向门控循环单元(BiGRU);自注意力机制(SA);	10.16547/j.cnki.10-1096.20250407	
336	期刊	基于CNN-Attention-LSTM的新能源汽车充电中SOC预测	刘丰	汽车实用技术	2025-06-11	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibIiPFpwxLFRNipz2IssWsTy9dZHW0lVAl3_yoIRamemMLgtYhg8pECeQq3HDyU7hLxuCi4LVI3KKCaN00Yo7kHauPLtJP2RZAXu6HPGapXaMOuPVIyBHAykcbLQiVGzFuoVY4s0mdkDr0vA1CU1ccnAb7mbFlI-14CyniFsxVxJ2w==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yTTwSQyFoXrz0T5dboN3M3EaRaumF2e2KO0cc9AjjvQXze_KRliYouQ0ihHtykPBnYqrTnPMpNyV0v3alWgrMcAlGhZueZBX5A=&uniplatform=NZKPT	刘丰、高有山、黄敏、孙浩然、王爱红、任鸿	准确预测新能源汽车充电过程中的荷电状态（SOC）可以提升充电效率与安全性、延长电池使用寿命以及提高驾驶体验与智能化水平，具有重要研究价值。文章基于卷积神经网络（CNN）与注意力机制和长短时记忆（LSTM）网络结合的方法，首先获取预测所需信息，划分数据集并且进行数据预处理，提高模型的训练效果和泛化能力，然后输入CNN-AttentionLSTM模型进行训练，最后依据评价指标验证该模型的有效性。研究结果表明，该模型能够从大量数据中提取到重要特征，理论上只通过实时获取充电过程中的数据，可以实现充电过程中SOC的准确预测。通过设计不同充电实验，对比充电过程中的实际SOC与预测SOC，得出CNN-Attention-LSTM模型具有可行性与良好的泛化性并且比CNN-LSTM模型性能更佳，在未来将具有广泛应用价值。	荷电状态;卷积神经网络;注意力机制;长短时记忆网络;	10.16638/j.cnki.1671-7988.2025.011.001	
337	期刊	基于深度学习的散斑图应变场测量	胡锦江	传感器与微系统	2025-06-11	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibIiPFpwxLFRNipz2IssWsTy9dZHW0lVAl1m9jPNbB8nONNIK30oKLdLGXmR6_0e2q_K_wmP9buyPSZgq6-pMp1-EJHUh_iibFev51eLchoUua7E9XbJyyRsHcqYwmttRYAHlxuQaaDt45HMBKxkoMB0Cif7cHaxLmOdc4nAuSFq7Q==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yTTwSQyFoXrz0T5dboN3M3EaRaumF2e2KO0cc9AjjvQXze_KRliYouQQQyY9h3c0Qt1u4eEfTXrIOaq-ltXtJoHlc6iWybSwtA=&uniplatform=NZKPT	胡锦江、任俊杰、朱攀、周兴林	针对数字图像相关（DIC）在测量散斑图应变场时最佳子集、步长、形状函数难以选择和由位移场推导应变场会对噪声放大，从而影响应变场测量精度的问题，提出一种直接从散斑图像到应变场的卷积神经网络（CNN）模型，并制作了不同尺寸、密度、光照强度下的散斑图用于训练网络模型。训练好的网络模型在验证集上的平均绝对误差（MAE）达到0.035%。通过测试集中50组散斑图的数值模拟比较其εxx,εyy和εxy3个方向的MAE,结果表明：提出的网络模型优于传统DIC算法和现有的神经网络模型。并通过拉伸6061铝合金板实验验证了该模型在实际应变场测量中的可靠性。	深度学习;卷积神经网络;散斑图;应变场测量;	10.13873/J.1000-9787(2025)06-0012-04	
338	期刊	基于改进ResNet18模型的驾驶员面部表情识别方法	段函作	传感器与微系统	2025-06-11	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibJII0ZXLPYQ5CNE_hsBnppvqkMzxRzkYHIKmnWTUOGxkWRPNlKW3Ogrm_7vH63hdUPzS1mM8dPETLVcaPAQlsuEqtOx22jua1W2_rHEpWcbipKsYQLVwhK7Ea2GipamjBYJkcuasc0BSvySfPKlDWqKot_Y4txw9beqeK4DDKS-iw==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5ySpwzhXS8bKohwwvvAa9FuPVZ-wOCso0aAv7H8H2_oXPZY291F4HBFSazgwMquVyIAzz87R2oRp4NT4URCna93tPpVsl7LnZfg=&uniplatform=NZKPT	段函作、潘溢洲、寇嘉铭、吴恩启	对于驾驶员而言，许多交通事故是由于情绪激动导致的。因此，准确识别其情绪状态十分重要。本文通过改进ResNet18网络并融合注意力机制模块，对面部表情图像分类。首先，建立面部表情数据集，共计1 000人的平静、开心、愤怒3类面部表情图片；其次，使用改进的卷积神经网络(CNN)对面部图片进行分类。使用多种指标对改进后的网络模型进行评估，同时与其他分类模型对比，并使用Grad-CAM方法可视化模型关注的区域。实验结果表明，改进的网络模型在测试集准确率为93.3%,较比原始网络精度提升0.1%,参数量下降了37%,模型关注的面部区域更加精确，实现了在保证高识别准确率的情况下降低网络模型参数量的优化效果。	面部表情;图像分类;卷积神经网络;注意力机制;	10.13873/J.1000-9787(2025)06-0029-04	
339	期刊	基于Res-DCGAN和改进AlexNet的稻谷病害识别方法	余子怡	传感器与微系统	2025-06-11	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibJII0ZXLPYQ5CNE_hsBnppvqkMzxRzkYHIKmnWTUOGxkWRPNlKW3Ogr8aiumheFV5yV0_o5EfSX7tTpCKpe67S3rVo-zWdVpwuEbL49t3_C-zMjeL0IzRGzmB3LFSXdutdigvN-agK-yvjnp1Lq3UhWmL_rKSyOPF5XNlAJzPCQ4Q==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5ySpwzhXS8bKohwwvvAa9FuPVZ-wOCso0aAv7H8H2_oXPZY291F4HBFSazgwMquVyIAzz87R2oRp4NT4URCna93tPpVsl7LnZfg=&uniplatform=NZKPT	余子怡、李正权、邢松	针对稻谷病害之间差别细微、难以实现精确识别的问题，提出一种基于Res-DCGAN和改进AlexNet的稻谷病害识别方法。首先，针对数据集多样性不足的问题，使用基于残差优化的深度卷积生成对抗网络(Res-DCGAN)联合非生成式方法对数据集进行扩充；其次，设计基于高效通道注意力机制的多分支特征提取结构的AlexNet,使不同尺度特征相融合，同时聚焦图像关键信息，且引入批量归一化方法和全局平均池化层，防止过拟合，减少参数量；最后，引入联合损失函数，使模型同时专注于难分类的样本。本文采用的扩充数据集的方式相较于仅使用非生成式方式，精确率提高了2.2%,且改进后的模型准确率达99.05%。相较于传统的AlexNet, VGG16和Inception v3模型分别提高了3.67,2.84和1.97个百分点，其模型收敛更快，泛化能力更好。	计算机视觉;卷积神经网络;高效通道注意力机制;生成对抗网络;	10.13873/J.1000-9787(2025)06-0038-05	
340	硕士	基于深度学习的移动众包任务分配问题研究	范泽群	烟台大学	2025-06-11	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibLiBG0_Kr-cj1sADPqM1xtFzuYn02E00WCXo335uxOBMPCBu7qdOjS8qzMwj40eO4jpRW6FbxeLm8Vk9PCQIy0tSCl25iRcu33NY8-Cwz9TXL73_Zs-uSNEOdNwg2pwLNUOpYTMsca1T-GAp5pdhK6PoWjzKlsgpxBBu2uXW1UywX4h2iFTme9R&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yR3guyt65SOLzgujkBP4NCVEuGDgR86yScEhd0XDaP3HQO_4ccULSb7qmMMFyBKsz4El16xV7ZK1ADk9LaEaAgd&uniplatform=NZKPT	范泽群	"随着无线网络和智慧城市的快速发展,移动众包已成为一种创新性的感知范式,在边缘计算、生活服务和城市智能化管理等多个领域展现出应用潜力。任务分配始终是移动众包领域的核心问题之一,它直接决定了任务完成的效率和质量,着重关注如何根据任务和用户的特征给工人分配合适的众包任务,从而在保证感知质量的同时提高服务效率。因此,研究如何利用先进技术优化任务分配方案具有重要的理论意义和实用价值。
现有的许多任务分配方法仅考虑了众包任务的可用性,即在特定的时间和位置任务是否可以调用,但忽略了任务的持续性这一重要属性,两者结合的任务预测框架能提高分配的准确性。此外,除任务本身的时空信息外,对于工人历史轨迹的研究也给任务分配提供了依据,但现有的工作仅利用了两次连续任务间的时空信息,缺乏考虑非相邻和非连续执行的任务对分配的影响,这类信息在理解工人轨迹的时空相关性方面同样十分重要。针对上述问题,本文具体研究内容如下:
(1)提出了一种基于Conv Ne Xt和GRU的任务分配算法。首先,依据众包商提供的历史位置信息完成聚类,划分众包服务中的任务集合。然后进行特征工程,提取时间信息特征,扩充特征维度,将独热编码后的数据通过马尔可夫转移场转化为保留时间依赖性的图像。其次,使用卷积神经网络模型Conv Ne Xt挖掘时序信息的空间自相关性来完成分类,用于任务可用性的预测。最后,一旦预测到了可用的众包服务,就可以在第二阶段按步长重构时间序列,使用GRU网络预测任务持续时间。实验结果表明,本文提出的方法能够显著地提高预测准确率,进而提升分配效率。
(2)提出了基于时空Transformer的移动众包任务分配方法。该方法通过学习任务和工人的时空信息来进行工人轨迹预测,它可以捕获工人在不同时间段的任务偏好,同时挖掘任意两个任务位置之间的时空关系,考虑了非相邻和非连续执行的任务对结果的影响。首先,将稀疏的输入特征转换为稠密的向量表示,时空数据被转化为适合后续模型训练的形式。其次,构造历史任务与候选任务时空关系矩阵,以显式表达任务间的时空关系。然后,使用包含双层Transformer结构的进阶注意力聚合层来处理序列数据,从而更好地挖掘时空众包中非相邻位置和非连续的任务模式。最后,本文开发了基于注意力机制的匹配模块,用于计算候选任务的归一化加权得分,从而为众包工人筛选出适配度最高的感知任务。通过四个真实数据集上的实验证明,该方法能够有效提升任务分配的准确度。"	移动众包;任务分配;深度学习;时空信息;轨迹预测;	10.27437/d.cnki.gytdu.2025.000076	潘庆先
341	硕士	人机协作场景下基于图像识别的人体位置及动作检测方法与应用研究	刘文哲	烟台大学	2025-06-11	https://kns.cnki.net/kcms2/article/abstract?v=5ykJdPmCibLiBG0_Kr-cj1sADPqM1xtFzuYn02E00WCXo335uxOBMOvS-ALrfkrG-NrJVQVYVRayzdnXanJYre6vaspudrsop6GP1igt2PY4MJ78-RAcQ53pIyrpfGP94oy9ePruTBLe0SIEbDVtZjdbbFag886jPPXWXe4ui2XYy7OknK_i4ySBwj5-ORDI&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=SgOayK7E5yR3guyt65SOLzgujkBP4NCVEuGDgR86yScEhd0XDaP3HQO_4ccULSb7qmMMFyBKsz4El16xV7ZK1ADk9LaEaAgd&uniplatform=NZKPT	刘文哲	"人机协作是人类与协作机器人协同完成任务的一种工作模式,凭借其在复杂任务场景中的良好适应性,近年来受到越来越多的关注。实现高效人机协作的关键问题在于如何快速、准确的人体位置和动作检测,随着计算机视觉技术的发展,基于图像识别的人体位置和动作检测展现出良好的性能,为实现高效人机协作提供了新的方向。
基于图像识别的人体位置检测主要用于为协作机器人提供人体位置信息。YOLO目标检测方法能够实时检测人体位置并具有较高的准确性和实时性。但现有YOLO方法仍存在特征判别性不足、多尺度目标检测鲁棒性低和模型的速度与精度平衡性差的缺点,这些缺点影响了其在人机协作任务中的使用。人体动作检测主要用于理解人与机器人之间的交互行为。骨架数据由于其不受背景、服装等影响,能够适应工厂、车间等背景复杂的场景并具有天然的图结构。因此,基于图卷积神经网络的骨架人体动作检测受到广泛关注。但现有方法仍存在时空关联特征提取能力不足、模型冗余度高和骨架适应性差的缺点,这些缺点产生了某些特定动作难以识别和实时性差的问题,导致其难以部署在人机协作任务中。
针对上述问题,本文拟对人机协作场景下基于图像识别的人体位置和动作方法开展如下研究。
(1)人机协作场景下基于改进YOLO的人体位置检测方法及其应用研究
本文面向人机协作场景,针对现有YOLO结构存在特征判别性不足、多尺度目标检测鲁棒性不足和速度、精度平衡性差的缺点,提出一种基于改进YOLO的人体位置检测方法。该方法基于现有YOLO模型,针对特征判别性不足的问题,采用一种添加位置信息的通道注意力机制,为特征添加注意力信息以提高网络性能。针对多尺度人体目标检测鲁棒性不足的问题,本文对模型中的池化模块进行改进,提升对多尺度人体目标的检测性能。针对模型速度、精度平衡性差的问题,本文使用深度可分离卷积对模型结构做出优化,在保证准确性的前提下提升网络整体实时性能。本文在COCO人类数据集上对所提出方法进行对比实验,实验数据表明所提出的方法具有更优的性能。针对人机协作任务场景,本文根据提出的人体位置检测方法构建了一个人机交互流程框架并在实验室环境下构建的机器人平台上进行实验,验证了其在人机协作任务中的可行性。
(2)人机协作场景下基于图卷积的骨架人体动作检测方法及其应用研究
本文面向人机协作场景,针对现有基于图卷积的骨架人体动作检测方法存在的时空关联特征提取能力不足、模型冗余度高和骨架适应性差的问题,提出一种基于自适应图机制的时空联合图卷积网络和基于神经网络结构搜索的网络结构优化方法。针对现有方法骨架适应性差的问题,本文对传统骨架图进行拓展,设计一种自适应图结构,使网络能够动态学习最适合的骨架图表示,更精准地捕捉动作特征。针对现有模型缺少时空关联特征捕捉的问题,本文构建一种时空联合卷积方式,通过构建时空图,在时间和空间维度上同步聚合邻居节点信息,从而显著提升人体动作检测的准确率。针对现有模型冗余度高、实时性能较差的问题,本文使用神经网络结构搜索方法优化网络结构,通过消除网络中的冗余模块提升整体网络性能。针对人机协作应用场景,本文构建一个包含8种常见搬运动作的数据集,并在该数据集上进行多方法的对比实验。实验结果显示,所提出方法在动作检测准确率和实时性方面均优于现有方法。此外,本文根据提出的人体动作检测方法构建了一个人机交互流程框架并将该方法部署至实验室环境中的机器人平台,验证了本方法在真实场景下的可行性。
本文的最后,对提出的研究内容进行总结,并探讨了在未来的研究工作中,包括在人体位置检测中引入迁移学习方法,以实现模型对不同任务需求的快速适应,以及在人体动作检测中采用多视角数据融合技术,以有效应对遮挡带来的信息缺失问题。"	人机协作;图像识别;人体位置检测;人体动作检测;	10.27437/d.cnki.gytdu.2025.000155	刘兆伟
