序号	类型	标题	第一作者	来源	日期	链接	来源链接	所有作者	摘要	关键词	DOI	导师
10	期刊	隐藻在象山港浮游植物群落中的重要性	王鹏	应用生态学报	2025-03-25 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliV4_lZMUl_jkyRcvQtImxd9oKYrE0UpCictm-y16D5aalX4Kptx-uTRd11pn3uGTLp7ZJW7McTb3LMmzQaLlMDTVXCXkZobC1ZVhgYQszmgKZxz8MKpQfw0ZD4yBkeUm0BnJ-ZXk-EawY8z1kPfQKfZzYVnKVW9psSEByfrgg1QKw==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZKcDh39Hn62JaRsJZCPMYJE-hRVjKrZSP2joTVTKfb8kgfZi-lScCHyNkrOkunKS7q9vnCriKJ__ygBItT8Dnk4wurO_DiY5A=&uniplatform=NZKPT	王鹏、江志兵、朱元励、孙振皓、蒋雨露、林华、曾江宁				
11	期刊	河湖系统浮游植物完整性指数构建及水生态健康评价	潘伯宁	河海大学学报(自然科学版)	2025-03-25 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliVaRJYHJXLKCfk2PKvSKdxKr5YDwe6aqHMXTl2-qObIUns5VVAXo4oJj50IlSrwFl8djB1xF7n4WE0chQKDdB4FVRdctXM2p369dPM_LCIh3fwhS6xk6mwZha_aaI0smBVBpV5tEeacFBIUAKWDZySgO8TuIP-I7guMgU2SzEDeRA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehao7WU0QEAI7QdXjUfg8oiBLNJxybujjLh91az9XVn_Cz5r8rf7L3mOdOJ7fMHGeglREqmav-aMxROHEePPuIBlnPQtg2BtC2g=&uniplatform=NZKPT	潘伯宁、李文轩、徐力刚、蒋名亮、程俊翔、魏凡凯				
12	期刊	河道变迁对黄河三角洲不同湿地土壤有机碳来源的影响	韩村	生态学报	2025-03-25 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliVaRJYHJXLKCfk2PKvSKdxKr5YDwe6aqHPpuFAar-G-ZE1d-SBJ-gfXV4ANztJhHrnCp5nc0hgPxYOXJPiBEX5o5yj66uKleNVjy1tKOCyWtugXrKTEFLmAKtTsZMJ_R4xmaXMFqERuc7s5GgbsBh1lZd2WYs4zLeOQTgBDeeIs-g==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehao7WU0QEAI7QdXjUfg8oiBLNJxybujjLh91az9XVn_Cz5r8rf7L3mO2sHOujvrJjf-P8Zv9H8GCZZVsO1Z3Y5l2WbT9ZnatAg=&uniplatform=NZKPT	韩村、张亚茹、胡聪月、李雪、王晓杰、赵明亮、韩广轩、宋维民				
13	期刊	梯级电站开发对水生态环境的影响分析		三峡生态环境监测	2025-03-25	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliV9o48kV-cKUAmijlupfg7Xr78SsZFs2oBZCZ-zuTo5G6ZJ2vPMMyA1b3fVTExCqsSv3i_KJzf5pIsDDoe_xC4fajsLyNMqoDRXmyqWNRScCCf5oxgSnAMjBZAyFI6AjyDu6qZ-XowZzLWggPEYk-t6KB9cuk-iovrl49Gy5zz__Q==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZhotMWq4yxc6tROH9Rjue5469KunhWDoDq9JNUSKWLzqizY07YYNMOyyQRHmoaFkg_TlJIcIo3X3Ww5MRyDCaw8TswGzWmpdY=&uniplatform=NZKPT					
14	期刊	某地区饮用水水源地水环境质量评价	杨玛	城镇供水	2025-03-25	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliW2_GlKH2vnX0pdMv8deunhEl5SdeTpG1pegVYmzc0XTcaGLjkPKjUg6r2jarEeJ2a-VQ5IXz7kYCFri4UlGLyOZBXGaNpYyM-P8Ev2vdySjlQtsPsAUuoURumRVwWVbAqP8g02Dz9u-DxeRhSSDPI4rvmXk-vDFUXz31TiDVmsWQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZwCZt1800V8OzJaFtzmx2US1CbrnI_sagEth2hBPKmXMlC5z3nlSkLehLz-_iumpYTyhe81MLdRuo0hVNE9cbpDSBVYbo3gEo=&uniplatform=NZKPT	杨玛、邓义敏				
15	期刊	三峡水库支流水华研究进展	李丹敏	水生生物学报	2025-03-21 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliW2_GlKH2vnX0pdMv8deunho0hcd2-uXx6wbHy1jKU3dUIuGsTu--8niZ9HMed_FuMPV2jw7OAcKSG5zjcGpFIkidm2dXTTz4yXkxSrE-QfPfn2y1Kruy_ENrUzkqw8MtzXRQMGJOHtFEJQ2uEcfzX02J6kBsxduxJtCFYk9f0upw==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZwCZt1800V8OzJaFtzmx2UxJRjgS_0NiWZ3q16yG_NtMCAle4v-HYkM6668idg5Cypl0q31odAyja9vOaUbGmCZtXBXfOdmEc=&uniplatform=NZKPT	李丹敏、宋高飞、田楚铭、方灵超、万栋、米武娟、毕永红				
16	期刊	底栖性鱼类对沉水植物生长和水质的影响	周文竹	安徽农业大学学报	2025-03-21 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXPwQNQ_petFd7KQQX3x3n9YNTKreGqFfQFE7kLO_MV7xCMYnv4OaRnOv8m8viXEubOrBMkMqtyMtc7MVHJyQurqmGEGriCO-IZB9tX6GN64xJdfrv5JrzVHXdoiaYr4TXpebtKy7ncD5jFxHXbJJU7DzlVtA-AZ60aU3GnBSFqGA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehaktJbXYnwB_7WyX2w63xHvVHngv9QQ6Fr3bjKuhk0_7GlgqpaGWmFrYcCwWNgoONnsDBYdmkD2hZYrt86KNjU8SRco3vaeUr8=&uniplatform=NZKPT	周文竹、谢盼盼、张韩、仇恒帅、胡婕、陈广启、魏冉、梅雪英				
17	期刊	华南典型大型水库氮磷化学计量时空特征及影响因子分析——以高州水库为例	毛仲蒙	湖泊科学	2025-03-19 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliU-87dSevrdpytqIjs-GjHFzyySlSEqJLD6OdsREhm4Bq60TlsIOp1SnASwFVA-R18olJ70Jz-S-iHScYnl24EzL86oQsiHI8NqqpqZrlgZBKklVTP5stbuFJKJUE8A8uISONPX8k4322u5IQ48oQ6PHqAlflSKQn01fH9Yxgu3iA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehYE0c-OjRk4PySmEzBh42JtSucXn6F7kwB0FZez8a8JuVAMiRnBekPSPpchnH0yyQAp2yrcNt-jmBS0GeD6X_f1Lv0mTTYxN68=&uniplatform=NZKPT	毛仲蒙、蒋燕茹、刘瑞敏、陈凌、顾继光、肖利娟				
18	期刊	流清河湾浮游生物群落对近海河口环境变化的不同响应及其关键驱动因素	翁辰施	渔业科学进展	2025-03-18 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliU-87dSevrdpytqIjs-GjHFzyySlSEqJLDoORKrwqSFixgvJkeBdqpVFheJxUdg_yFBiJdKOd7_Qntws8CJcKA8UasqzjGsTHuE8ZZMsaAK3SQ8pZbmGt_JWc5JRrJeJSzch0pXRY6_SBKNteoYKd9YKeuA9_q3OAnyDO2XaizMlg==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehYE0c-OjRk4PySmEzBh42JtSucXn6F7kwB0FZez8a8JuVAMiRnBekPSs0c3Ojb1I7oUyQpZ1CpDNNkR5azy95ZJDY06_al3APM=&uniplatform=NZKPT	翁辰施、李志祥、王英哲、丁东生、崔正国、曲克明、胡海燕、魏玉秋				
19	期刊	长岛附近海域夏秋季贝类毒素污染特征及潜在来源解析	邓宇翔	渔业科学进展	2025-03-18 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliUIawP-NENc7lw7HlRt4CNNV68dB7eXcbZS4c1amcNlNNRtSMQpxQgb9XYy3Om2Q9_xh4k5v-lUKKWHI34cMWzPrGw70iZZFQRTI5kRAIZOvvmhdl3qqltFRcG1GugXyE74i3F-VdHpwCEoh0_L7qpM3cK01asxfnTpTnUL6An9zw==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZe8pzPYnH5FRd7X3IfKrUdBQew9WdOKIllkGihOi0p33D1Qs_Wwa9MFAuGYv9EG8br3F-SqqAcej3_raViZtfRul88xokrGTg=&uniplatform=NZKPT	邓宇翔、程玲、吴海燕、袁承旭、谭志军、郑关超				
20	期刊	贵阳红枫湖不同形态微囊藻毒素的时空分布特征及其与铁、叶绿素a相关性研究	刘树文	生态毒理学报	2025-03-18 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliU9rR_wd-Sq0MbuTByVQ7c7wDV_WumZWcwkJXUyB-XDVGuhWaQ1BA4PgdS049yU3aa52CCuZmuSHvRDqQ_GT7afGmCv9IUijMtgUqJTo6z19o7Kj6GJW2yLx0SElakS4NcP2uhK4ygsVUF4JlFLXo1YOD13ipDIFRqNuYYC3igoRw==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehZDJZ7J1-l8GS7lPB1qS5xmixoqeWRFHa4H_yf9NsjgnWjBJh2e-L3nSLYQdaQuQhFMP39euCR-eySkwIvlh40kyjJmtW_cVAo=&uniplatform=NZKPT	刘树文				
21	期刊	南极磷虾资源与渔场变动及其对环境响应的研究进展	赵云霞	中国水产科学	2025-03-14 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliWVg6G2AvzaZvPcUAt9XMaYavXENMWDQwBmTlO7PQfodKQBbf7ZziLd4l8Mrvzwzu23TWk90DtSo0XCRNWCT7g10DHNF-7u6y4bH91TZ5AbsOo1TPtXQx2Uv-5bvONZIC99dNnb5J8RPHkhBZP-Np9_tibXgST5gSNGuj33cuY9NQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehb5sU31E22GVCNWmEbhnVIb5SUZfs25jWhL4W1msAdFKN_J8yPtGtoxByIHLb7ktXDVgCAnM7x-HfQgYKW2BCb0coeHo0ct10E=&uniplatform=NZKPT	赵云霞、王新良、应一平、朱建成、刘璐、李文雄、赵宪勇				
22	期刊	四平市二龙山水库浮游植物与环境因子关系探究	王晓娜	吉林水利	2025-03-14	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliWVg6G2AvzaZvPcUAt9XMaYG33IcsdfUNg7PLHUiQ_0w_MzrRsGeUCn6KXghLwFLg5YRy6hoHM1pnCUgaWX-99LOR6zFLVu7LwLZKNuJwg35DDCZSyNm_qTba4tI3BaUmomyb-fyS756BFqju1XXHYEV3WOv557kjlqTMUfruHRMQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehb5sU31E22GVCNWmEbhnVIbWQHeiZV2AXmv3l1GT-hVB84yjFXpqaO-VYOaMtx1ytn1Hu1UqmUYydYIf8w9Vp0oYpa-MiY-MEU=&uniplatform=NZKPT	王晓娜、刘丽				
23	期刊	水体硅碳化学计量趋同的浮游植物驱动机制	李婉珠	地学前缘	2025-03-13 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliVEDugDUB6c8pE6P37Af86O_o2n6kSU-ekehMLJ0ROmfwoCyJM-eJgm3hR46txEMHaI3kzjlHDjN0KcTcwZtTyqNTlJftjEYW9kA77rMxhx6LluacnGbiXgJJyJzK30or9GjcfJtTGpL9cLrmTE5mnNnIPr2lIbr7jV2YzHHwU1CQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehYI0rUkKQgFA60jmB8BHvVjT5Rb6VzQxVJ_AEHpo1US6Gtxbta9egAVvbe151ddjfovKnnqBWVWOB-EeqOztYFVI_nXmseaWDI=&uniplatform=NZKPT	李婉珠、王宝利、刘丛强				
24	期刊	景德镇市昌江流域浮游植物群落结构特征及对关键环境因子的响应	谭晶	应用与环境生物学报	2025-03-12 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliVEDugDUB6c8pE6P37Af86OW4Uuq5caPGWY_k_741u5HkyzTjS5c2CMb_sdDN5IFgANC4QcftpwrY1z6UFvbeXdckO5QGVBEgAjY9Ww5E06vFJEl9sV-dodwJYclEdhXGUPRxaG_k5PfaQQxnXbVypsbGZNZnWsOQvcW6pd2k-wSQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehYI0rUkKQgFA60jmB8BHvVj3nSuJ7487_CJhckoSd79dmsisWse9IUpurx_DEXafGK6NAeRzMerJv7SAKklJasbHcidAhUgaA8=&uniplatform=NZKPT	谭晶、王岚、李玉山、张靖伟、牛晓锋、张欢、兰伟、牛远、徐军				
25	期刊	鲢、鳙配比对山仔水库浮游植物和环境因子的影响	管永晶	福建农林大学学报(自然科学版)	2025-03-11	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXUXDsTxUFWbuM-Mf1q91sx2GG1AoudDrJdr80K2eIqWLPeENVRBb4fghir68TjMDqv6Zj4cKsB2B1m2ysWtbzvD6-O_m9QUK6nMuo7do2RTpEfdaKNZr71OIx1cXZrkIuD5acXGEIPuZ4_iIln1QFwSGp7Apkl_Qnxzy24Xzcutw==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehb1pYp1bSLDXIetghDjjktb14-NMyEw09sogfW8V6yPgbhLLGDqsQR_RsP7Im5bn38nNCGaGvotEvpaQ0-SM9IJqOFamX7EuZ4=&uniplatform=NZKPT	管永晶、刘惟潇、田欣方、李覃楠、郭子翰、张心怡、林洛萱、覃盼、黄雄伟、吴龙地、方垂弘				
26	期刊	东圳水库水体分层特性研究及水资源管理对策	何少钦	水利科技	2025-03-10	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliXUXDsTxUFWbuM-Mf1q91sx2GG1AoudDrIOajNqf0fts_PDa5Y0QDJpP4utpSSAaZDpGSa7QDURBJsIYH8hApXPSqxHnOuNLeoKfx9IIRozPcBuFGEEOJRWAm6IeS45itYZREmDWAt7xE5v7rbQmRyHY34blEKsnYSY_JafcBRz_Q==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehb1pYp1bSLDXIetghDjjktb14-NMyEw09sogfW8V6yPgbhLLGDqsQR_XknpbzQ1QAajbFFKNDPuZsIYZlyHu2WZBjjAiSzU2oY=&uniplatform=NZKPT	何少钦				
27	期刊	山东省黄河及南四湖流域重点河湖水生态健康综合评价	吕铃钥	北京师范大学学报(自然科学版)	2025-03-06 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliUBEJnAg_ZP2UWQumvdzvZC6yi4nhRvl60kTwCY6Vg1wEIuRxMLWYe_-G0WHlw_W-B_reErO9ocH0YQfQgyOQ-hJ4QTi_-Np0BRP0S7gDLiW_RoFvHCtopoqnnMyLyUV1kJFq4QgG8NAd38QW9Qm0HHqNqLMlu3Khz8WzfwnkBR0A==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehbFrAzqTrWPLAVMSX2NFB5LvxEMOxfT1Y16DRftjtxgvBMbWc6EJtXqIK2-YddDV8esI2EunDJ4U77DgmDLQ7TlyMcXwIqdPCE=&uniplatform=NZKPT	吕铃钥、梁金辉、宋伟、李艺、姚小燕、王静静、王运涛、姚逸斐				
28	期刊	一类营养-浮游生物随机模型的平稳分布	易凡茹	湖北民族大学学报(自然科学版)	2025-03-06 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliUBEJnAg_ZP2UWQumvdzvZC2RmFTkkYQ3yCbQDPzksg2iK-QJfY_48o9qir0otRYZ1k9QqIKZSZAsYbJwkt3XuvOzEaDPpzv0ddbzIz7pXnsM7q8VHc80xRPFgfZbYz8md7QJYMRvYZb_BQelIow_b6u_Snhv-wDgc5j-fTaYsIBQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehbFrAzqTrWPLAVMSX2NFB5LEMCQSE8ygcni2Y5aBz31NBm5BuScRYrBGfrIDkLSF4CQAhzijsfY8JpvSmySIpi0Jx1KBJn3JCw=&uniplatform=NZKPT	易凡茹、王清龙				
29	期刊	青土湖湿地浮游生物群落结构及其与环境因子的关系	王丽娟	湿地科学	2025-03-06 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliU-zLmSu6WF0e9s8Rf3-qnS_jVt3iIISrxpQkwo_iVOvhCgSW5YVxzH8qhXjHuMDpJNaJ_NplJJ5lU8dS2BCD9fRJScDNDki6PTWhi7AD5aF7jT4BxJJdFNrzV6XoJBI8rcCaEJvPzw86H6eDT9TDCXEtt5ZLmW4V5atxv-BtuZxA==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehYW6KlRaX25xXVtmeserZDnfFjcB5D-tYyKBXhhB6egLQc1t3P8aygcjjb_2h37MO9Y_9FkVS_d9ZjGxmIEeP-rJ3ByxAi3kLQ=&uniplatform=NZKPT	王丽娟、杜岩岩、张世虎、张艳萍、王太				
30	期刊	冰封期与非冰封期查干淖尔湖东湖浮游植物群落结构特征及其驱动因子	张昊	湿地科学	2025-03-05 	https://kns.cnki.net/kcms2/article/abstract?v=2Z_8GvOTliU-zLmSu6WF0e9s8Rf3-qnS_jVt3iIISrxpQkwo_iVOvhCgSW5YVxzHVV41_haDxnuuXsmBhanCCACB_LgDv6T1ho8b5qU0ZLCkL5DhfDF8crGjgLKbocUhuY8fxSW5NA2hquN4Hospel5VEc3MzizielKYGbXPEyZ3_qmjtMlOMQ==&uniplatform=NZKPT&language=CHS	https://navi.cnki.net/knavi/detail?p=Qxi5TnIjehYW6KlRaX25xXVtmeserZDnfFjcB5D-tYyKBXhhB6egLQc1t3P8aygcjjb_2h37MO9Y_9FkVS_d9ZjGxmIEeP-rJ3ByxAi3kLQ=&uniplatform=NZKPT	张昊、史小红、崔志谋、全栋、卢俊平、张生、李国华				
